Date,Coal Australia Index,Shrimp Index,Wheat Index,Natural gas EU price,Natural Gas US price,Natural Gas US Index,Beef price,Beef Index,Coal Australia price,Natural gas EU index,Shrimp price,Wheat price
1996M1,56.17720494,76.47473459,137.1696755,2.680000093,2.934125,114.9463207,86.26190186,48.40510789,39.37,61.56202358,6.527269782,196.4283017
1996M2,56.04878359,76.47473459,143.9703714,2.680000093,3.83325,150.1701474,83.05263519,46.60425612,39.28,61.56202358,6.527269782,206.166964
1996M3,55.66351955,76.47473459,143.3350103,2.680000093,2.922,114.4713157,79.31944275,44.509408,39.01,61.56202358,6.527269782,205.2571208
1996M4,56.12012878,76.47473459,167.2587978,2.689999898,2.2515,88.20402712,81.5,45.73300853,39.33,61.79172814,6.527269782,239.5162157
1996M5,54.50772742,77.35942881,173.5985961,2.689999898,2.2408,87.78484742,81.3125,45.62779455,38.2,61.79172814,6.602780183,248.5948683
1996M6,54.50772742,79.12881726,150.2964904,2.689999898,2.491,97.58660074,77,43.20787309,38.2,61.79172814,6.753800985,215.2260275
1996M7,54.79310819,77.10657712,137.1407713,2.689999898,2.55875,100.2407526,77.6818161,43.5904682,38.4,61.79172814,6.581198792,196.3869106
1996M8,54.721763,76.72701292,126.7428674,2.689999898,2.042,79.99672369,80.22727203,45.01882842,38.35,61.79172814,6.548802236,181.4970117
1996M9,54.36503703,74.95762447,119.3990044,2.689999898,1.831625,71.75514154,78.67500305,44.14778632,38.1,61.79172814,6.397781434,170.9805289
1996M10,53.6515851,75.33661532,118.4321507,2.939999898,2.2725,89.02671625,81.42391205,45.69031244,37.6,67.53445402,6.430129052,169.5959849
1996M11,50.94046777,80.01351148,118.2015932,2.939999898,3.0804,120.6767422,82.17058563,46.10930176,35.7,67.53445402,6.829311386,169.2658244
1996M12,50.44105142,83.42672257,117.1996777,2.939999898,3.8145,149.4356036,83.01249695,46.58173289,35.35,67.53445402,7.1206357,167.8310717
1997M1,50.26982296,86.20751776,117.1715221,3,3.2791,128.4609484,81.47727203,45.72025493,35.23,68.91271057,7.357982067,167.7907526
1997M2,49.37087353,88.6093221,114.6435713,2.944444444,2.134375,83.61557645,85.32894897,47.88158958,34.6,67.63654926,7.562980816,164.1707027
1997M3,49.22818314,90.37871055,117.1141483,2.760000017,1.892375,74.13506366,93.36250305,52.38954783,34.5,63.39969411,7.714001617,167.7085929
1997M4,50.51239661,92.27481152,122.6024682,2.729999966,2.0105,78.76269,90.98863983,51.05747535,35.4,62.71056584,7.875837584,175.56792
1997M5,50.98327489,93.41235743,117.5989999,2.729999966,2.2166,86.83679614,86.5,48.53871457,35.73,62.71056584,7.972929376,168.402905
